Width,Height,Label
0.486,0.19854721549636803,car
0.452,0.1162227602905569,fish
0.318,0.3486682808716707,house
0.296,0.6053268765133172,tree
0.394,0.2857142857142857,bicycle
0.426,0.4745762711864407,guitar
0.162,0.5956416464891041,pencil
0.444,0.4794188861985472,clock
0.49,0.22276029055690072,car
0.382,0.13075060532687652,fish
0.36,0.37530266343825663,house
0.438,0.6513317191283293,tree
0.462,0.29782082324455206,bicycle
0.452,0.5108958837772397,guitar
0.324,0.48426150121065376,pencil
0.378,0.43825665859564167,clock
0.478,0.2711864406779661,car
0.288,0.13559322033898305,fish
0.426,0.39709443099273606,house
0.61,0.7094430992736077,tree
0.288,0.28329297820823246,bicycle
0.154,0.45278450363196127,guitar
0.036,0.5254237288135594,pencil
0.222,0.25907990314769974,clock
0.466,0.29782082324455206,car
0.444,0.17675544794188863,fish
0.484,0.5738498789346247,house
0.47,0.5472154963680388,tree
0.438,0.3704600484261501,bicycle
0.58,0.24939467312348668,guitar
0.044,0.2711864406779661,pencil
0.674,0.7820823244552058,clock
0.458,0.3704600484261501,car
0.34,0.2009685230024213,fish
0.486,0.5980629539951574,house
0.586,0.6755447941888619,tree
0.328,0.23728813559322035,bicycle
0.204,0.6900726392251816,guitar
0.056,0.7142857142857143,pencil
0.658,0.7094430992736077,clock
0.34,0.13559322033898305,car
0.412,0.15738498789346247,fish
0.634,0.5980629539951574,house
0.584,0.7893462469733656,tree
0.398,0.30024213075060535,bicycle
0.266,0.8668280871670703,guitar
0.564,0.009685230024213076,pencil
0.512,0.5932203389830508,clock
0.588,0.3099273607748184,car
0.608,0.3946731234866828,fish
0.582,0.7409200968523002,house
0.56,0.9176755447941889,tree
0.498,0.4891041162227603,bicycle
0.608,0.6198547215496368,guitar
0.502,0.6973365617433414,pencil
0.428,0.5157384987893463,clock
0.62,0.31234866828087166,car
0.33,0.22518159806295399,fish
0.256,0.5690072639225182,house
0.318,0.5254237288135594,tree
0.302,0.26150121065375304,bicycle
0.276,0.6464891041162227,guitar
0.236,0.6222760290556901,pencil
0.38,0.44552058111380144,clock
0.646,0.44552058111380144,car
0.286,0.559322033898305,fish
0.344,0.5714285714285714,house
0.456,0.6343825665859564,tree
0.416,0.17433414043583534,bicycle
0.296,0.6222760290556901,guitar
0.128,0.576271186440678,pencil
0.254,0.36319612590799033,clock
0.5,0.1791767554479419,car
0.156,0.07506053268765134,fish
0.248,0.2857142857142857,house
0.266,0.34382566585956414,tree
0.374,0.28087167070217917,bicycle
0.202,0.2566585956416465,clock
0.628,0.4721549636803874,car
0.464,0.5036319612590799,fish
0.462,0.6150121065375302,house
0.516,0.7772397094430993,tree
0.622,0.5278450363196125,bicycle
0.534,0.7021791767554479,guitar
0.46,0.6343825665859564,pencil
0.334,0.4576271186440678,clock
0.504,0.23728813559322035,car
0.508,0.09927360774818401,fish
0.566,0.6537530266343826,house
0.484,0.7409200968523002,tree
0.372,0.24213075060532688,bicycle
0.706,0.6198547215496368,guitar
0.362,0.4188861985472155,pencil
0.41,0.6150121065375302,clock
0.646,0.3099273607748184,car
0.558,0.31234866828087166,fish
0.63,0.5108958837772397,house
0.484,0.7893462469733656,tree
0.566,0.576271186440678,bicycle
0.45,0.6755447941888619,guitar
0.72,0.8135593220338984,pencil
0.554,0.8087167070217918,clock
0.63,0.21307506053268765,car
0.456,0.3050847457627119,fish
0.5,0.36803874092009686,house
0.538,0.6900726392251816,tree
0.544,0.3946731234866828,bicycle
0.196,0.7578692493946732,guitar
0.016,0.5012106537530266,pencil
0.266,0.3075060532687651,clock
0.55,0.2179176755447942,car
0.36,0.21307506053268765,fish
0.308,0.4213075060532688,house
0.418,0.6198547215496368,tree
0.454,0.25907990314769974,bicycle
0.594,0.5835351089588378,guitar
0.394,0.34382566585956414,pencil
0.414,0.3389830508474576,clock
0.286,0.06053268765133172,fish
0.346,0.4188861985472155,house
0.438,0.5544794188861986,tree
0.426,0.3801452784503632,bicycle
0.136,0.4963680387409201,guitar
0.174,0.22033898305084745,pencil
0.126,0.2033898305084746,clock
0.68,0.324455205811138,car
0.758,0.8765133171912833,fish
0.76,0.5157384987893463,house
0.664,0.9200968523002422,tree
0.672,0.5714285714285714,bicycle
0.656,0.9128329297820823,guitar
0.654,0.7288135593220338,pencil
0.276,0.6973365617433414,clock
0.482,0.14285714285714285,car
0.468,0.14769975786924938,fish
0.288,0.5811138014527845,house
0.612,0.7457627118644068,tree
0.532,0.35108958837772397,bicycle
0.432,0.6610169491525424,guitar
0.302,0.39709443099273606,pencil
0.62,0.7191283292978208,clock
0.606,0.3365617433414044,car
0.664,0.2687651331719128,fish
0.38,0.6731234866828087,house
0.594,0.864406779661017,tree
0.576,0.5084745762711864,bicycle
0.622,0.7142857142857143,guitar
0.42,0.5012106537530266,pencil
0.42,0.4552058111380145,clock
0.694,0.43825665859564167,car
0.394,0.13559322033898305,fish
0.478,0.738498789346247,house
0.642,0.9685230024213075,tree
0.576,0.4745762711864407,bicycle
0.28,0.837772397094431,guitar
0.158,0.8571428571428571,pencil
0.568,0.7990314769975787,clock
0.628,0.43099273607748184,car
0.546,0.31234866828087166,fish
0.544,0.5399515738498789,house
0.496,0.837772397094431,tree
0.634,0.5012106537530266,bicycle
0.606,0.6271186440677966,guitar
0.534,0.576271186440678,pencil
0.35,0.46731234866828086,clock
0.614,0.2469733656174334,car
0.602,0.10411622276029056,fish
0.466,0.7530266343825666,house
0.668,0.8692493946731235,tree
0.49,0.3341404358353511,bicycle
0.428,0.4576271186440678,guitar
0.256,0.45278450363196127,pencil
0.36,0.4213075060532688,clock
0.6,0.30024213075060535,car
0.566,0.2687651331719128,fish
0.576,0.6610169491525424,house
0.43,0.5835351089588378,tree
0.514,0.36319612590799033,bicycle
0.23,0.5786924939467313,guitar
0.35,0.43825665859564167,pencil
0.41,0.4019370460048426,clock
0.648,0.30024213075060535,car
0.496,0.2397094430992736,fish
0.298,0.5472154963680388,house
0.33,0.5157384987893463,tree
0.302,0.24939467312348668,bicycle
0.294,0.7191283292978208,guitar
0.52,0.41404358353510895,pencil
0.616,0.6682808716707022,clock
0.42,0.16707021791767554,car
0.46,0.09685230024213075,fish
0.25,0.39951573849878935,house
0.32,0.648910411622276,tree
0.174,0.19128329297820823,bicycle
0.242,0.711864406779661,guitar
0.392,0.3341404358353511,pencil
0.224,0.26634382566585957,clock
0.626,0.3389830508474576,car
0.41,0.29782082324455206,fish
0.492,0.648910411622276,house
0.38,0.6658595641646489,tree
0.534,0.3801452784503632,bicycle
0.47,0.8135593220338984,guitar
0.45,0.6246973365617433,pencil
0.572,0.6924939467312349,clock
0.6,0.16464891041162227,car
0.678,0.2687651331719128,fish
0.438,0.43825665859564167,house
0.61,0.738498789346247,tree
0.602,0.3050847457627119,bicycle
0.638,0.22276029055690072,guitar
0.028,0.6295399515738499,pencil
0.602,0.5641646489104116,clock
0.522,0.2784503631961259,fish
0.768,0.927360774818402,house
0.454,0.7941888619854721,tree
0.386,0.26150121065375304,bicycle
0.46,0.6464891041162227,guitar
0.664,0.738498789346247,pencil
0.626,0.6537530266343826,clock
0.55,0.32929782082324455,car
0.584,0.4116222760290557,fish
0.364,0.41404358353510895,house
0.49,0.5012106537530266,tree
0.522,0.3486682808716707,bicycle
0.386,0.6271186440677966,guitar
0.304,0.4915254237288136,pencil
0.406,0.5205811138014528,clock
0.534,0.24939467312348668,car
0.45,0.18401937046004843,fish
0.308,0.43825665859564167,house
0.454,0.7869249394673123,tree
0.61,0.31234866828087166,bicycle
0.38,0.4043583535108959,guitar
0.168,0.1937046004842615,pencil
0.386,0.4406779661016949,clock
0.622,0.4092009685230024,car
0.336,0.19128329297820823,fish
0.526,0.7142857142857143,house
0.416,0.549636803874092,tree
0.48,0.5278450363196125,bicycle
0.622,0.2397094430992736,guitar
0.026,0.5205811138014528,pencil
0.358,0.4648910411622276,clock
0.482,0.22276029055690072,car
0.39,0.1791767554479419,fish
0.4,0.6658595641646489,house
0.444,0.7360774818401937,tree
0.378,0.2929782082324455,bicycle
0.58,0.25907990314769974,guitar
0.132,0.549636803874092,pencil
0.306,0.3486682808716707,clock
0.46,0.3704600484261501,car
0.464,0.3946731234866828,fish
0.422,0.387409200968523,house
0.438,0.5230024213075061,tree
0.58,0.4406779661016949,bicycle
0.224,0.7554479418886199,guitar
0.42,0.6900726392251816,pencil
0.496,0.6924939467312349,clock
0.452,0.21307506053268765,car
0.294,0.22276029055690072,fish
0.478,0.6198547215496368,house
0.598,0.7409200968523002,tree
0.402,0.36077481840193704,bicycle
0.326,0.774818401937046,guitar
0.068,0.5883777239709443,pencil
0.4,0.5205811138014528,clock
0.71,0.2639225181598063,car
0.648,0.4043583535108959,fish
0.718,0.6029055690072639,house
0.61,0.8401937046004843,tree
0.546,0.43825665859564167,bicycle
0.718,0.639225181598063,guitar
0.438,0.4963680387409201,pencil
0.384,0.43341404358353514,clock
0.58,0.3583535108958838,car
0.484,0.30024213075060535,fish
0.38,0.4794188861985472,house
0.536,0.6440677966101694,tree
0.516,0.29055690072639223,bicycle
0.498,0.5907990314769975,guitar
0.566,0.7070217917675545,pencil
0.372,0.4188861985472155,clock
0.59,0.4092009685230024,car
0.632,0.559322033898305,fish
0.558,0.5205811138014528,house
0.716,0.784503631961259,tree
0.492,0.5302663438256658,bicycle
0.558,0.7506053268765133,guitar
0.292,0.5254237288135594,pencil
0.442,0.6634382566585957,clock
0.47,0.3050847457627119,car
0.582,0.26634382566585957,fish
0.546,0.7457627118644068,house
0.486,0.6368038740920097,tree
0.532,0.3728813559322034,bicycle
0.638,0.6464891041162227,guitar
0.264,0.20581113801452786,pencil
0.422,0.45036319612590797,clock
0.57,0.44552058111380144,fish
0.198,0.4939467312348668,house
0.332,0.5980629539951574,tree
0.348,0.21307506053268765,bicycle
0.16,0.7094430992736077,guitar
0.052,0.6585956416464891,pencil
0.438,0.5956416464891041,clock
0.64,0.41646489104116224,car
0.646,0.3026634382566586,fish
0.472,0.6658595641646489,house
0.504,0.7409200968523002,tree
0.516,0.5883777239709443,bicycle
0.538,0.5980629539951574,guitar
0.566,0.4794188861985472,pencil
